DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
2025-09-10 05:00:00,575.7,64.8,18.4,4.124
2025-09-10 05:15:00,576.7,62.0,18.4,4.124
2025-09-10 05:30:00,577.2,62.8,18.5,4.124
2025-09-10 05:45:00,576.3,63.3,18.5,4.124
2025-09-10 06:00:00,576.5,62.8,18.5,4.124
2025-09-10 06:15:00,576.8,62.5,18.4,4.124
2025-09-10 06:30:00,577.0,63.0,18.4,4.124
2025-09-10 06:45:00,574.8,62.8,18.4,4.124
2025-09-10 07:00:00,576.2,64.2,18.4,4.124
2025-09-10 07:15:00,576.5,63.8,18.4,4.109
2025-09-10 07:30:00,430.7,77.8,18.92,4.109
2025-09-10 07:45:00,408.7,75.3,19.0,4.124
2025-09-10 08:00:00,489.3,131.8,18.5,4.109
2025-09-10 08:15:00,382.5,107.2,18.4,4.109
2025-09-10 08:30:00,317.3,126.5,18.5,4.109
2025-09-10 08:45:00,545.3,111.5,18.2,4.109
2025-09-10 09:00:00,563.5,99.2,18.0,4.109
2025-09-10 09:15:00,543.5,91.0,17.9,4.124
2025-09-10 09:30:00,520.7,86.3,17.9,4.109
2025-09-10 09:45:00,505.5,82.8,17.85,4.109
2025-09-10 10:00:00,497.5,79.8,17.87,4.109
2025-09-10 10:15:00,489.7,76.8,17.9,4.109
2025-09-10 10:30:00,482.2,77.5,17.9,4.109
2025-09-10 10:45:00,478.3,71.8,17.9,4.109
2025-09-10 11:00:00,476.7,70.2,18.0,4.109
2025-09-10 11:15:00,474.0,69.8,18.0,4.109
2025-09-10 11:30:00,472.5,69.2,17.9,4.109
2025-09-10 11:45:00,471.2,69.0,17.9,4.109
2025-09-10 12:00:00,471.0,70.0,17.9,4.109
