DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
2026-01-13 08:00:00,383.8,155.5,9.3,4.124
2026-01-13 08:15:00,383.5,156.7,9.3,4.109
2026-01-13 08:30:00,383.8,157.2,9.2,4.124
2026-01-13 08:45:00,383.7,156.0,9.2,4.124
2026-01-13 09:00:00,383.7,156.8,9.2,4.109
2026-01-13 09:15:00,383.5,156.5,9.1,4.109
2026-01-13 09:30:00,383.0,156.5,9.1,4.109
2026-01-13 10:00:00,383.2,156.0,9.1,4.109
2026-01-13 10:15:00,384.0,156.0,9.02,4.109
2026-01-13 10:45:00,383.3,156.0,9.0,4.109
2026-01-13 11:15:00,383.2,156.8,9.0,4.109
2026-01-13 11:30:00,383.2,155.5,9.0,4.109
2026-01-13 12:00:00,384.0,157.2,9.0,4.109
2026-01-13 12:15:00,384.7,155.3,9.0,4.109
2026-01-13 12:30:00,384.7,156.3,9.0,4.109
2026-01-13 12:45:00,384.2,156.5,9.1,4.109
2026-01-13 13:00:00,384.2,156.2,9.1,4.094
2026-01-13 13:15:00,383.3,155.8,9.1,4.109
2026-01-13 13:30:00,383.7,156.3,9.1,4.109
2026-01-13 13:45:00,383.8,156.3,9.0,4.109
2026-01-13 14:00:00,383.3,155.2,9.0,4.109
2026-01-13 14:15:00,383.7,156.5,9.0,4.109
2026-01-13 14:30:00,383.3,156.5,8.9,4.109
2026-01-13 14:45:00,383.5,156.0,8.9,4.109
2026-01-13 15:00:00,383.7,157.0,8.9,4.109
2026-01-13 15:15:00,383.2,157.0,8.8,4.094
2026-01-13 15:30:00,383.3,156.0,8.8,4.094
2026-01-13 15:45:00,383.3,156.0,8.8,4.109
2026-01-13 16:00:00,383.3,155.0,8.72,4.109
2026-01-13 16:15:00,383.0,156.5,8.7,4.109
2026-01-13 16:30:00,383.2,156.5,8.7,4.109
2026-01-13 16:45:00,382.5,156.3,8.7,4.109
2026-01-13 17:00:00,382.7,156.8,8.8,4.215
2026-01-13 17:15:00,382.0,155.7,8.8,4.215
2026-01-13 17:30:00,382.2,155.8,8.8,4.23
2026-01-13 17:45:00,382.2,155.7,8.9,4.245
2026-01-13 18:00:00,381.8,156.7,8.9,4.245
2026-01-13 18:15:00,382.7,155.2,9.0,4.245
2026-01-13 18:30:00,382.0,155.3,9.1,4.23
2026-01-13 18:45:00,382.5,155.5,9.2,4.245
2026-01-13 19:00:00,382.0,154.0,9.3,4.23
2026-01-13 19:15:00,382.7,153.7,9.4,4.23
2026-01-13 19:30:00,382.8,154.0,9.6,4.23
2026-01-13 19:45:00,383.2,155.0,9.7,4.245
2026-01-13 20:00:00,384.8,154.7,9.9,4.245
2026-01-13 20:15:00,388.2,155.7,10.0,4.23
2026-01-13 20:30:00,394.7,156.3,10.2,4.351
2026-01-13 20:45:00,399.8,155.0,10.4,4.336
2026-01-13 21:00:00,401.2,155.7,10.6,4.336
2026-01-13 21:15:00,400.3,156.8,10.9,4.336
2026-01-13 21:30:00,398.3,156.5,11.1,4.336
2026-01-13 21:45:00,395.7,157.2,11.3,4.336
2026-01-13 22:00:00,392.2,157.5,11.4,4.336
2026-01-13 22:15:00,388.8,157.0,11.5,4.336
2026-01-13 22:30:00,387.8,156.7,11.5,4.336
2026-01-13 22:45:00,386.7,156.3,11.6,4.336
2026-01-13 23:00:00,385.7,156.7,11.6,4.336
2026-01-13 23:15:00,384.5,157.7,11.6,4.23
2026-01-13 23:30:00,385.2,157.7,11.68,4.336
2026-01-13 23:45:00,384.5,157.2,11.63,4.336
2026-01-14 00:00:00,385.2,158.8,11.6,4.23
2026-01-14 00:15:00,385.2,157.7,11.6,4.336
2026-01-14 00:30:00,384.3,157.8,11.5,4.215
2026-01-14 00:45:00,384.2,158.0,11.4,4.124
2026-01-14 01:15:00,383.7,157.2,11.3,4.124
2026-01-14 01:30:00,384.3,157.3,11.2,4.124
2026-01-14 01:45:00,384.3,157.0,11.1,4.124
2026-01-14 02:00:00,384.0,157.7,11.0,4.139
2026-01-14 02:15:00,383.5,157.2,10.9,4.124
2026-01-14 02:30:00,383.3,157.3,10.8,4.124
2026-01-14 02:45:00,382.8,158.2,10.7,4.124
2026-01-14 03:00:00,383.2,157.7,10.6,4.124
2026-01-14 03:15:00,383.0,157.3,10.5,4.124
2026-01-14 03:30:00,383.2,158.2,10.5,4.124
2026-01-14 03:45:00,382.7,156.8,10.4,4.124
2026-01-14 04:00:00,382.7,156.8,10.3,4.124
2026-01-14 04:15:00,383.7,156.0,10.3,4.109
2026-01-14 04:30:00,383.2,156.7,10.2,4.124
2026-01-14 04:45:00,382.3,157.2,10.2,4.124
2026-01-14 05:00:00,381.5,158.3,10.1,4.124
2026-01-14 05:15:00,381.2,157.7,10.1,4.124
2026-01-14 05:30:00,381.8,156.3,10.1,4.124
2026-01-14 05:45:00,381.3,158.3,10.0,4.124
2026-01-14 06:00:00,381.2,157.3,10.0,4.124
2026-01-14 06:15:00,381.2,157.7,10.0,4.124
2026-01-14 06:30:00,381.3,158.2,9.9,4.124
2026-01-14 06:45:00,381.3,158.0,9.9,4.124
2026-01-14 07:00:00,381.3,156.7,9.9,4.124
2026-01-14 07:15:00,381.8,156.2,9.87,4.124
2026-01-14 07:30:00,381.3,157.3,9.8,4.124
2026-01-14 07:45:00,381.8,157.5,9.8,4.124
2026-01-14 08:00:00,381.5,156.5,9.8,4.124
2026-01-14 08:15:00,381.7,156.8,9.8,4.124
2026-01-14 08:30:00,381.7,156.5,9.7,4.124
2026-01-14 08:45:00,381.8,157.0,9.7,4.124
2026-01-14 09:00:00,382.2,157.2,9.7,4.124
2026-01-14 09:15:00,382.5,158.2,9.7,4.124
2026-01-14 09:30:00,381.8,157.0,9.7,4.109
2026-01-14 09:45:00,382.7,156.8,9.62,4.124
2026-01-14 10:00:00,382.5,156.3,9.6,4.124
2026-01-14 10:15:00,383.2,157.2,9.6,4.124
2026-01-14 10:30:00,383.0,157.0,9.6,4.124
2026-01-14 10:45:00,382.5,156.3,9.6,4.109
2026-01-14 11:00:00,382.8,156.7,9.6,4.124
2026-01-14 11:30:00,382.7,156.3,9.5,4.109
2026-01-14 11:45:00,383.5,156.3,9.5,4.124
2026-01-14 12:00:00,382.7,156.8,9.5,4.109
2026-01-14 12:15:00,383.0,157.5,9.5,4.109
2026-01-14 12:30:00,382.5,158.2,9.5,4.109
2026-01-14 12:45:00,382.0,157.3,9.5,4.109
2026-01-14 13:00:00,381.8,157.0,9.5,4.109
2026-01-14 13:15:00,381.5,156.5,9.4,4.109
2026-01-14 13:30:00,381.2,157.0,9.4,4.109
2026-01-14 13:45:00,381.0,157.2,9.4,4.109
2026-01-14 14:00:00,381.3,155.8,9.4,4.124
2026-01-14 14:15:00,381.0,155.8,9.4,4.109
2026-01-14 14:30:00,381.2,156.3,9.4,4.109
2026-01-14 14:45:00,381.3,155.8,9.4,4.109
2026-01-14 15:00:00,381.7,155.2,9.4,4.109
2026-01-14 15:15:00,382.0,155.8,9.4,4.109
2026-01-14 15:30:00,382.5,155.8,9.3,4.109
2026-01-14 15:45:00,382.2,155.7,9.3,4.109
2026-01-14 16:00:00,382.3,155.5,9.3,4.094
2026-01-14 16:15:00,382.5,155.0,9.3,4.109
2026-01-14 16:30:00,382.3,155.2,9.3,4.109
2026-01-14 16:45:00,382.7,155.7,9.3,4.109
2026-01-14 17:00:00,382.3,155.8,9.3,4.215
2026-01-14 17:30:00,382.0,154.7,9.3,4.23
2026-01-14 17:45:00,382.7,155.2,9.3,4.245
2026-01-14 18:00:00,382.8,156.0,9.4,4.245
2026-01-14 18:15:00,382.5,157.0,9.5,4.245
2026-01-14 18:30:00,381.7,156.7,9.6,4.23
2026-01-14 18:45:00,381.7,156.0,9.73,4.23
2026-01-14 19:00:00,381.2,155.5,9.9,4.23
2026-01-14 19:30:00,374.3,156.8,10.2,4.23
2026-01-14 19:45:00,372.8,157.5,10.3,4.23
2026-01-14 20:00:00,372.7,158.0,10.4,4.23
2026-01-14 20:15:00,372.0,157.3,10.6,4.23
2026-01-14 20:30:00,372.3,157.0,10.7,4.336
2026-01-14 20:45:00,372.7,156.2,10.9,4.321
2026-01-14 21:00:00,373.5,157.0,11.1,4.336
2026-01-14 21:15:00,374.0,156.0,11.3,4.336
2026-01-14 21:30:00,374.8,156.8,11.5,4.336
2026-01-14 21:45:00,376.5,156.8,11.6,4.336
2026-01-14 22:00:00,377.5,157.5,11.7,4.336
2026-01-14 22:15:00,378.5,157.2,11.8,4.321
2026-01-14 22:30:00,379.0,158.0,11.8,4.336
2026-01-14 22:45:00,379.8,157.2,11.8,4.321
2026-01-14 23:00:00,380.7,156.5,11.8,4.321
2026-01-14 23:15:00,382.2,157.2,11.8,4.23
2026-01-14 23:30:00,385.3,158.0,11.8,4.336
2026-01-14 23:45:00,386.7,157.7,11.8,4.336
2026-01-15 00:00:00,387.7,158.2,11.8,4.23
2026-01-15 00:15:00,388.7,158.8,11.7,4.336
2026-01-15 00:30:00,388.5,157.3,11.7,4.215
2026-01-15 00:45:00,387.5,158.3,11.6,4.124
2026-01-15 01:00:00,386.5,158.0,11.6,4.124
2026-01-15 01:15:00,385.3,158.3,11.5,4.124
2026-01-15 01:30:00,384.7,156.8,11.5,4.139
2026-01-15 01:45:00,383.8,158.3,11.4,4.139
2026-01-15 02:00:00,383.2,156.8,11.32,4.124
2026-01-15 02:15:00,384.5,158.3,11.3,4.124
2026-01-15 02:30:00,384.2,158.2,11.2,4.124
2026-01-15 02:45:00,384.5,157.5,11.1,4.124
2026-01-15 03:00:00,384.5,157.7,11.1,4.124
2026-01-15 03:15:00,384.2,158.7,11.0,4.124
2026-01-15 03:30:00,383.5,157.8,10.9,4.124
2026-01-15 03:45:00,382.5,157.2,10.9,4.124
2026-01-15 04:00:00,382.0,158.2,10.9,4.124
2026-01-15 04:15:00,380.7,157.2,10.8,4.124
2026-01-15 04:30:00,380.3,158.3,10.8,4.139
2026-01-15 04:45:00,380.2,159.3,10.7,4.124
2026-01-15 05:00:00,380.0,157.7,10.7,4.124
2026-01-15 05:15:00,380.5,159.0,10.7,4.124
2026-01-15 05:30:00,380.5,158.0,10.7,4.124
2026-01-15 05:45:00,380.7,157.7,10.68,4.124
2026-01-15 06:00:00,381.0,159.3,10.6,4.124
2026-01-15 06:15:00,380.7,158.0,10.6,4.124
2026-01-15 06:30:00,380.5,157.0,10.6,4.124
2026-01-15 06:45:00,380.5,156.8,10.6,4.124
2026-01-15 07:00:00,380.0,157.2,10.6,4.124
2026-01-15 07:15:00,378.7,157.5,10.6,4.124
2026-01-15 07:30:00,377.7,156.8,10.5,4.124
2026-01-15 07:45:00,377.2,157.7,10.5,4.124
2026-01-15 08:00:00,377.8,157.2,10.5,4.124
2026-01-15 08:15:00,377.7,157.3,10.5,4.124
2026-01-15 08:30:00,376.5,156.3,10.4,4.124
2026-01-15 08:45:00,376.2,158.0,10.4,4.124
2026-01-15 09:00:00,375.8,157.3,10.4,4.124
2026-01-15 09:15:00,375.7,158.3,10.4,4.124
2026-01-15 09:30:00,376.2,156.7,10.3,4.124
2026-01-15 09:45:00,377.8,156.8,10.3,4.139
2026-01-15 10:00:00,378.3,157.2,10.3,4.109
2026-01-15 10:15:00,378.7,157.2,10.23,4.124
2026-01-15 10:30:00,379.3,156.8,10.2,4.124
2026-01-15 10:45:00,379.7,157.5,10.2,4.124
2026-01-15 11:00:00,379.8,156.8,10.2,4.124
2026-01-15 11:15:00,380.2,156.8,10.1,4.124
2026-01-15 11:30:00,380.7,157.3,10.1,4.124
2026-01-15 11:45:00,381.0,157.0,10.1,4.109
2026-01-15 12:00:00,380.8,156.7,10.0,4.124
2026-01-15 12:15:00,381.3,157.0,10.0,4.109
2026-01-15 12:30:00,381.2,156.5,10.0,4.124
2026-01-15 12:45:00,381.3,156.2,9.9,4.124
2026-01-15 13:00:00,381.2,156.3,9.9,4.109
2026-01-15 13:15:00,381.5,157.7,9.9,4.109
2026-01-15 13:30:00,381.5,156.2,9.9,4.124
2026-01-15 13:45:00,381.8,156.0,9.8,4.109
2026-01-15 14:00:00,381.7,156.8,9.8,4.124
2026-01-15 14:15:00,382.2,156.2,9.8,4.109
2026-01-15 14:30:00,382.0,156.7,9.7,4.109
2026-01-15 14:45:00,381.8,156.8,9.7,4.109
2026-01-15 15:00:00,382.0,156.5,9.7,4.109
2026-01-15 15:15:00,381.2,157.8,9.7,4.109
2026-01-15 15:30:00,381.0,157.5,9.6,4.124
2026-01-15 15:45:00,381.3,157.7,9.6,4.109
2026-01-15 16:00:00,381.3,156.0,9.6,4.109
2026-01-15 16:15:00,381.3,157.0,9.6,4.109
2026-01-15 16:30:00,381.2,156.0,9.6,4.109
2026-01-15 16:45:00,381.2,156.2,9.6,4.124
2026-01-15 17:00:00,381.7,156.8,9.6,4.215
2026-01-15 17:15:00,381.2,156.7,9.6,4.215
2026-01-15 17:30:00,381.0,157.3,9.7,4.23
2026-01-15 18:00:00,381.7,156.3,9.8,4.23
2026-01-15 18:30:00,381.5,157.0,10.1,4.23
2026-01-15 18:45:00,381.3,156.7,10.2,4.23
2026-01-15 19:00:00,381.0,156.3,10.4,4.245
2026-01-15 19:15:00,381.3,156.8,10.5,4.23
2026-01-15 19:30:00,380.8,155.7,10.7,4.23
2026-01-15 19:45:00,381.0,156.7,10.82,4.321
2026-01-15 20:00:00,380.5,156.2,11.0,4.336
2026-01-15 20:15:00,380.8,155.7,11.2,4.336
2026-01-15 20:30:00,380.8,157.2,11.3,4.336
2026-01-15 20:45:00,380.5,156.7,11.5,4.336
2026-01-15 21:00:00,380.5,157.0,11.7,4.336
2026-01-15 21:15:00,381.0,157.0,11.9,4.336
2026-01-15 21:30:00,381.2,156.0,12.1,4.336
2026-01-15 21:45:00,381.0,158.0,12.3,4.336
2026-01-15 22:00:00,382.2,158.0,12.4,4.336
2026-01-15 22:15:00,382.3,158.8,12.4,4.336
2026-01-15 22:30:00,382.5,158.2,12.42,4.321
2026-01-15 22:45:00,382.0,158.5,12.5,4.321
2026-01-15 23:00:00,382.5,157.8,12.5,4.336
2026-01-15 23:15:00,382.5,158.2,12.5,4.336
2026-01-15 23:30:00,382.7,158.8,12.5,4.336
2026-01-15 23:45:00,382.2,158.5,12.5,4.321
2026-01-16 00:00:00,381.5,159.0,12.4,4.23
2026-01-16 00:15:00,381.5,159.3,12.4,4.336
2026-01-16 00:30:00,380.8,158.3,12.3,4.215
2026-01-16 00:45:00,380.7,158.0,12.2,4.124
2026-01-16 01:00:00,380.7,157.0,12.2,4.124
2026-01-16 01:15:00,381.2,157.5,12.1,4.124
2026-01-16 01:30:00,381.0,157.3,12.0,4.124
2026-01-16 01:45:00,381.3,157.5,11.9,4.139
2026-01-16 02:00:00,381.0,157.3,11.9,4.124
2026-01-16 02:15:00,381.3,156.5,11.8,4.124
2026-01-16 02:30:00,381.2,156.3,11.7,4.124
2026-01-16 02:45:00,381.0,156.3,11.7,4.124
2026-01-16 03:00:00,381.2,157.3,11.6,4.124
2026-01-16 03:15:00,380.5,157.8,11.5,4.124
2026-01-16 03:30:00,380.7,155.7,11.5,4.124
2026-01-16 03:45:00,380.8,155.0,11.4,4.124
2026-01-16 04:00:00,380.5,156.0,11.3,4.124
2026-01-16 04:15:00,379.8,155.8,11.3,4.109
2026-01-16 04:30:00,380.7,155.8,11.2,4.109
2026-01-16 04:45:00,380.7,156.8,11.2,4.124
2026-01-16 05:00:00,380.5,157.3,11.1,4.124
2026-01-16 05:15:00,380.3,156.8,11.1,4.139
2026-01-16 05:30:00,380.5,156.8,11.0,4.124
2026-01-16 05:45:00,380.2,156.7,11.0,4.124
2026-01-16 06:00:00,380.5,155.7,11.0,4.124
2026-01-16 06:15:00,380.3,156.2,10.9,4.124
2026-01-16 06:30:00,380.3,156.2,10.9,4.124
2026-01-16 06:45:00,380.5,156.7,10.9,4.124
2026-01-16 07:00:00,380.7,156.8,10.8,4.124
2026-01-16 07:15:00,380.0,157.0,10.8,4.124
2026-01-16 07:30:00,380.2,156.2,10.8,4.124
2026-01-16 07:45:00,380.0,156.3,10.7,4.124
2026-01-16 08:00:00,379.5,156.3,10.7,4.124
2026-01-16 08:15:00,379.5,156.2,10.7,4.124
2026-01-16 08:30:00,379.8,155.7,10.6,4.109
2026-01-16 08:45:00,379.7,155.2,10.6,4.124
2026-01-16 09:00:00,380.3,155.8,10.6,4.124
2026-01-16 09:15:00,380.5,156.2,10.58,4.124
2026-01-16 09:30:00,380.2,155.7,10.5,4.124
2026-01-16 09:45:00,380.7,156.2,10.5,4.124
2026-01-16 10:00:00,380.8,155.7,10.5,4.124
2026-01-16 10:15:00,381.2,155.8,10.43,4.124
2026-01-16 10:30:00,380.8,156.3,10.4,4.124
2026-01-16 10:45:00,380.8,155.8,10.4,4.124
2026-01-16 11:00:00,380.8,155.8,10.4,4.124
2026-01-16 11:15:00,381.3,156.3,10.4,4.124
2026-01-16 11:30:00,381.3,156.2,10.4,4.124
2026-01-16 11:45:00,381.0,156.2,10.4,4.124
2026-01-16 12:00:00,381.2,155.5,10.4,4.124
2026-01-16 12:15:00,381.2,156.3,10.4,4.109
2026-01-16 12:30:00,381.3,156.7,10.5,4.109
2026-01-16 12:45:00,381.3,157.0,10.5,4.124
2026-01-16 13:00:00,381.5,156.3,10.5,4.109
2026-01-16 13:15:00,381.3,155.8,10.5,4.109
2026-01-16 13:30:00,381.2,156.0,10.5,4.109
2026-01-16 13:45:00,381.7,155.2,10.5,4.109
2026-01-16 14:00:00,381.3,157.3,10.5,4.109
2026-01-16 14:15:00,380.8,157.7,10.5,4.109
2026-01-16 14:30:00,381.2,157.3,10.5,4.109
2026-01-16 14:45:00,381.2,156.2,10.5,4.109
2026-01-16 15:00:00,381.3,156.3,10.5,4.109
2026-01-16 15:15:00,381.5,157.3,10.5,4.109
2026-01-16 15:30:00,381.5,156.8,10.5,4.124
2026-01-16 15:45:00,382.7,157.2,10.5,4.109
2026-01-16 16:00:00,382.3,157.0,10.5,4.109
2026-01-16 16:15:00,382.3,157.0,10.42,4.109
2026-01-16 16:30:00,381.8,158.0,10.4,4.109
2026-01-16 16:45:00,381.2,156.0,10.4,4.109
2026-01-16 17:00:00,381.3,155.5,10.45,4.2
2026-01-16 17:15:00,380.8,155.0,10.5,4.215
2026-01-16 17:30:00,380.7,157.2,10.5,4.245
2026-01-16 17:45:00,380.8,157.0,10.5,4.23
2026-01-16 18:00:00,381.0,156.2,10.5,4.23
2026-01-16 18:15:00,380.7,157.2,10.6,4.23
2026-01-16 18:30:00,381.2,156.0,10.6,4.23
2026-01-16 18:45:00,381.5,156.2,10.7,4.23
2026-01-16 19:00:00,381.3,156.5,10.8,4.23
2026-01-16 19:15:00,381.2,155.5,10.9,4.245
2026-01-16 19:30:00,381.2,156.2,11.0,4.23
2026-01-16 19:45:00,380.7,156.0,11.1,4.23
2026-01-16 20:00:00,381.0,154.8,11.2,4.23
2026-01-16 20:15:00,381.2,157.2,11.3,4.336
2026-01-16 20:30:00,381.3,155.5,11.4,4.336
2026-01-16 20:45:00,382.0,155.7,11.5,4.321
2026-01-16 21:00:00,383.2,155.5,11.7,4.336
2026-01-16 21:15:00,384.2,155.7,11.9,4.336
2026-01-16 21:30:00,384.5,156.5,12.1,4.336
2026-01-16 21:45:00,384.7,156.5,12.2,4.336
2026-01-16 22:00:00,384.2,156.7,12.3,4.336
2026-01-16 22:15:00,383.8,157.7,12.4,4.336
2026-01-16 22:30:00,383.0,157.3,12.32,4.336
2026-01-16 23:15:00,381.8,156.8,12.4,4.23
2026-01-16 23:30:00,381.0,157.0,12.4,4.336
2026-01-16 23:45:00,381.5,156.8,12.32,4.336
2026-01-17 00:00:00,381.0,157.5,12.3,4.245
2026-01-17 00:15:00,380.7,157.2,12.2,4.23
2026-01-17 00:30:00,380.7,157.8,12.2,4.2
2026-01-17 00:45:00,380.3,158.2,12.1,4.139
2026-01-17 01:00:00,380.2,157.8,12.1,4.124
2026-01-17 01:15:00,380.0,157.5,12.0,4.139
2026-01-17 01:30:00,380.2,158.0,11.9,4.124
2026-01-17 01:45:00,379.0,158.2,11.9,4.139
2026-01-17 02:00:00,379.3,157.8,11.8,4.124
2026-01-17 02:15:00,379.7,157.0,11.7,4.124
2026-01-17 02:30:00,379.5,157.2,11.6,4.124
2026-01-17 02:45:00,379.3,156.2,11.5,4.139
2026-01-17 03:00:00,379.3,157.8,11.5,4.124
2026-01-17 03:15:00,379.3,157.0,11.4,4.124
2026-01-17 03:30:00,379.2,156.7,11.3,4.124
2026-01-17 03:45:00,379.0,157.8,11.2,4.124
2026-01-17 04:00:00,378.5,157.0,11.2,4.124
2026-01-17 04:15:00,379.0,157.8,11.1,4.124
2026-01-17 04:30:00,378.7,156.3,11.1,4.124
2026-01-17 04:45:00,378.7,157.8,11.0,4.124
2026-01-17 05:00:00,379.3,157.0,10.9,4.124
2026-01-17 05:15:00,379.0,157.0,10.9,4.124
2026-01-17 05:30:00,378.7,157.3,10.8,4.124
2026-01-17 05:45:00,379.0,157.3,10.8,4.124
2026-01-17 06:00:00,378.8,156.8,10.7,4.124
2026-01-17 06:15:00,379.3,157.5,10.7,4.124
2026-01-17 06:30:00,379.3,156.3,10.7,4.124
2026-01-17 06:45:00,379.7,156.3,10.6,4.124
2026-01-17 07:00:00,379.3,156.7,10.6,4.124
2026-01-17 07:15:00,379.3,156.8,10.52,4.124
2026-01-17 07:30:00,379.5,156.5,10.5,4.109
2026-01-17 07:45:00,379.3,155.8,10.5,4.124
2026-01-17 08:00:00,379.3,155.8,10.47,4.124
2026-01-17 08:15:00,379.2,156.0,10.4,4.124
2026-01-17 08:30:00,379.2,156.5,10.4,4.124
2026-01-17 08:45:00,379.2,156.2,10.4,4.124
2026-01-17 09:00:00,379.5,156.0,10.4,4.109
2026-01-17 09:15:00,378.5,155.7,10.3,4.124
2026-01-17 09:30:00,378.0,155.3,10.3,4.124
2026-01-17 09:45:00,378.0,155.7,10.3,4.124
2026-01-17 10:00:00,377.8,154.2,10.3,4.124
2026-01-17 10:15:00,377.8,155.7,10.3,4.124
2026-01-17 10:30:00,376.8,155.3,10.2,4.124
2026-01-17 10:45:00,376.8,155.7,10.2,4.124
2026-01-17 11:00:00,377.0,157.5,10.2,4.124
2026-01-17 11:15:00,377.3,156.3,10.2,4.109
2026-01-17 11:30:00,376.3,156.5,10.2,4.124
2026-01-17 11:45:00,376.3,158.2,10.2,4.109
2026-01-17 12:00:00,376.3,155.2,10.2,4.124
2026-01-17 12:15:00,376.2,156.0,10.2,4.109
2026-01-17 12:30:00,376.2,155.2,10.27,4.124
2026-01-17 12:45:00,376.7,155.8,10.3,4.109
2026-01-17 13:00:00,376.8,155.3,10.3,4.124
2026-01-17 13:15:00,377.2,156.2,10.3,4.109
2026-01-17 13:30:00,377.2,155.7,10.3,4.124
2026-01-17 13:45:00,377.2,155.5,10.3,4.109
2026-01-17 14:00:00,378.0,156.5,10.3,4.109
2026-01-17 14:15:00,378.2,156.2,10.3,4.109
2026-01-17 14:30:00,378.7,156.0,10.3,4.109
2026-01-17 14:45:00,379.0,155.7,10.3,4.109
2026-01-17 15:00:00,379.2,155.0,10.3,4.109
2026-01-17 15:15:00,379.3,154.8,10.3,4.109
2026-01-17 15:30:00,379.7,155.3,10.2,4.109
2026-01-17 15:45:00,379.3,155.5,10.2,4.109
2026-01-17 16:00:00,380.0,155.7,10.2,4.109
2026-01-17 16:15:00,380.2,155.8,10.2,4.215
2026-01-17 16:30:00,379.8,155.5,10.2,4.215
2026-01-17 16:45:00,380.3,155.3,10.2,4.215
2026-01-17 17:00:00,380.5,155.8,10.2,4.23
2026-01-17 17:15:00,380.0,155.2,10.3,4.23
2026-01-17 17:30:00,379.7,155.2,10.3,4.23
2026-01-17 17:45:00,379.7,155.0,10.4,4.23
2026-01-17 18:00:00,379.8,156.2,10.5,4.23
2026-01-17 18:15:00,379.7,155.7,10.5,4.23
2026-01-17 18:30:00,379.7,155.5,10.6,4.23
2026-01-17 18:45:00,379.2,155.0,10.7,4.23
2026-01-17 19:00:00,379.5,154.8,10.8,4.23
2026-01-17 19:15:00,379.0,154.3,10.9,4.23
2026-01-17 19:30:00,378.8,154.3,11.1,4.336
2026-01-17 19:45:00,379.2,155.3,11.2,4.336
