uuid	site_code	timestamp	Meter_Hydros21_Temp	Meter_Hydros21_Depth	Meter_Hydros21_Cond	EnviroDIY_Mayfly_Batt
00003ebc-658c-4941-9663-06b4950abb42	codornices	2025-11-24 20:15:00	13.65	292.608	244.8	NULL
00005889-235a-4b6b-b457-8a1ff058dba0	codornices	2025-11-21 20:00:00	13.48	298.704	157.5	NULL
0001b6f7-362b-4132-b9d9-692077653253	codornices	2025-07-22 07:30:00	15.98	286.512	317.9	NULL
0002272f-6407-4a52-9186-b8dbf3226dbb	codornices	2026-03-04 00:45:00	13.23	313.944	324.4	NULL
0002d394-ea51-4b8d-8061-5e4761af0ae4	codornices	2025-06-21 04:30:00	15.61	292.608	314.2	NULL
00045bbd-1dc9-48d8-a482-ae3d8f0fe4e6	Codornices	2025-05-23 13:15:00	15.22	NULL	NULL	NULL
00069848-f6b9-4ee9-8dc0-58e15ec52ec2	codornices	2026-03-22 03:45:00	13.25	304.8	335.8	NULL
000a9de4-0f21-45d4-a801-46d8a1c4147b	Codornices	2025-05-27 09:45:00	14.99	0.29565600000000003	321.7	NULL
0010fd76-a642-4f1b-8800-1cac42c3cf30	codornices	2025-10-16 18:15:00	14.89	283.464	268.1	NULL
00117620-db36-4a37-a012-b1ca42fe6805	Codornices	2025-06-10 07:30:00	15.71	0.29565600000000003	329	NULL
0012f4d2-3612-43a9-bb9c-7a57d91df338	codornices	2025-10-20 01:00:00	15.65	286.512	300.5	NULL
0014b3af-0c9d-4b27-b812-6ee7e0a788b9	codornices	2025-06-20 19:45:00	14.98	295.656	311.8	NULL
0017683b-ffb1-47fb-9647-0a4db7cdb4e9	codornices	2025-06-21 01:00:00	15.3	289.56	313.2	NULL
00190033-a971-46c9-8bb2-861cc201dedd	codornices	2025-10-26 05:45:00	15.81	289.56	303	NULL
001acfa7-fcbe-457b-98e5-70bc119245f5	codornices	2025-09-23 09:15:00	17.77	280.416	323.5	NULL
001c30db-b17e-4777-a21f-b256c6b7b41d	codornices	2025-07-27 05:00:00	16.4	286.512	321.4	NULL
0020db14-81f8-4c43-80a1-bbf9c94ca9f8	codornices	2025-08-13 06:45:00	17.12	283.464	319.3	NULL
002185a6-cb86-43b5-826d-3ab29d15aa57	codornices	2026-04-09 02:30:00	13.26	304.8	312.8	NULL
0023affe-5b69-4bc6-9193-7442a0a87a9b	codornices	2026-04-05 11:45:00	13.32	310.896	295.4	NULL
00245888-623e-4a35-b88b-c50ae4acc3a5	codornices	2025-09-14 22:15:00	17.59	280.416	314.9	NULL
00246ad5-97e1-4d58-a553-d83cb23db792	codornices	2025-06-18 02:45:00	15.31	292.608	322.2	NULL
002ac9b9-cd2e-40b9-b428-e2388599a2d1	codornices	2025-11-21 02:45:00	14.07	304.8	151.6	NULL
002b5591-32a8-419c-a412-ac09e6a2691f	codornices	2026-02-02 00:15:00	13.24	301.752	304.4	NULL
002b9ad4-34fa-4b02-b5f0-117c36927307	codornices	2025-07-27 20:15:00	16.04	289.56	317.6	NULL
002bf094-45a5-4c13-b838-26cd50a533b5	codornices	2025-12-08 08:15:00	10.69	292.608	273.8	NULL
0031735c-42d3-4398-b943-6f7d36b1cab0	codornices	2025-10-18 06:00:00	15.18	283.464	282.4	NULL
003357ce-dc98-4ab6-ac6b-e761273b96ea	codornices	2025-11-16 23:30:00	15.38	292.608	269.4	NULL
0033dbfe-dc15-4986-9ce9-0b6eab150625	codornices	2026-01-09 05:45:00	13.48	329.184	293.1	NULL
0036b719-2625-46b2-8ea7-419ab7cf764e	codornices	2025-07-03 08:00:00	16.06	286.512	312.1	NULL
0039e77b-e9c6-449b-b111-bd5efe2295e8	codornices	2025-06-13 08:15:00	15.09	295.656	321.4	NULL
003b335d-9c9e-4743-ad2c-24d358713e23	codornices	2025-11-01 05:15:00	15.36	286.512	295.5	NULL
003f0a71-90be-41f9-b9c5-0e0ea77cfc3c	codornices	2025-10-14 06:45:00	15	313.944	133.2	NULL
003f7f25-3edd-4612-aae1-c8749304650b	codornices	2025-10-28 16:45:00	15.3	286.512	281.7	NULL
